BM Cycle Name,Business Group ID,Business Group Name,Biz Expenses Business Exit,Biz Revenue Business Exit,Biz Inventory Business Exit,Biz Cash Business Exit,Biz Input Business Exit,# Of BOs dropped Business Exit,Group Size at PR,PR Grant Value Business Exit,PR Grant Used Business Exit
FY24C1 Albert Atama,88282,Amen,1241000,2806000,1000000,1050000,2265000,0,3,240000,240000
FY24C1 Albert Atama,88278,Iyete,2345500,3586500,302000,200000,1674000,0,3,240000,240000
FY24C1 Albert Atama,88280,Loketa,528000,1611000,301000,500000,1915000,0,3,240000,240000
FY24C1 Albert Atama,88279,Yenet,1850000,2196000,150000,590000,315000,0,3,240000,240000
FY24C1 Albert Atama,88276,Grace,1190000,2804000,460000,305000,595000,0,3,240000,240000
FY24C1 Albert Atama,88277,Salam,921200,1038000,307000,300000,865000,0,3,240000,240000
FY24C1 Albert Atama,88281,Hope,2740000,3209000,400000,620000,1225000,0,3,240000,240000
FY24C1 Albert Atama,88283,Pure,742000,1773000,370000,200000,220000,0,3,240000,240000
FY24C1 Albert Atama,88284,God With Us,3505500,4650300,265000,680000,1920000,0,3,240000,240000
FY24C1 Albert Atama,88285,Happy,638000,1721000,355000,540000,315000,0,3,240000,240000
FY24C1 Albert Atama,88286,Peace,1228500,2114500,274000,230000,880000,0,3,240000,240000
FY24C1 Albert Atama,89066,Joyful,677100,1482900,204000,502000,1950000,0,3,240000,240000
FY24C1 Albert Atama,89067,Morijita,841000,2146000,250000,600000,607000,0,3,240000,240000
FY24C1 Albert Atama,89068,Asanty,1924500,2986000,2220000,206000,589000,0,3,240000,240000
FY24C1 Albert Atama,89069,Ateki Luak,540000,1716000,390000,551000,810000,0,3,240000,240000
FY24C1 Albert Atama,89070,Alafi,1610000,3116000,352000,800000,2565000,0,3,240000,240000
FY24C1 Albert Atama,89071,God Bless,1100000,1486000,0,0,2565000,0,3,240000,240000
FY24C1 Albert Atama,89072,Nyolanita,785000,1364000,922000,130000,575000,0,3,240000,240000
FY24C1 Albert Atama,89073,Rubanga Twero,781000,1311000,250000,340000,1242000,0,3,240000,240000
FY24C1 Albert Atama,89074,Harmony,958000,1484000,105000,550000,1401000,0,3,240000,240000
FY24C1 Annet Eyotaru,88670,Asante,491500,9182500,615200,380000,607000,0,3,240000,240000
FY24C1 Annet Eyotaru,88651,Ama Nda Nyazu,765000,12000000,1100000,750000,1740000,0,2,240000,240000
FY24C1 Annet Eyotaru,88652,Embaasi,1110200,8506000,174000,2700000,710000,0,2,240000,240000
FY24C1 Annet Eyotaru,88653,Onyaruku,1232500,9391000,610000,1250000,341000,0,2,240000,240000
FY24C1 Annet Eyotaru,88654,Asianzu,662100,6781500,500000,700000,543000,0,3,240000,240000
FY24C1 Annet Eyotaru,88655,Awadifo,685000,34445000,683000,1400000,537000,0,3,240000,240000
FY24C1 Annet Eyotaru,88656,Panya Africa,2045000,11145000,755000,1750000,1265000,0,3,240000,240000
FY24C1 Annet Eyotaru,88657,Ijokici,674000,12235000,1200000,300000,460000,0,3,240000,240000
FY24C1 Annet Eyotaru,88658,Amaecora,645500,20363000,1702000,1478000,590100,0,3,240000,240000
FY24C1 Annet Eyotaru,88659,Happy,1240000,8428000,320000,400000,437600,0,3,240000,240000
FY24C1 Annet Eyotaru,88660,Ichikiru,2430000,15212400,880000,400000,572000,0,2,240000,200000
FY24C1 Annet Eyotaru,88662,Gift,1787200,45424600,1425000,1020000,715500,0,3,240000,240000
FY24C1 Annet Eyotaru,88664,Alionzi,390000,5396000,700000,920000,379000,0,3,240000,240000
FY24C1 Annet Eyotaru,88665,Icokiru,412500,10184000,510000,320000,403000,0,3,240000,240000
FY24C1 Annet Eyotaru,88667,Ocema Ceni,659100,9723600,850000,300000,762000,0,2,240000,240000
FY24C1 Annet Eyotaru,88671,Lucky,1460000,13401000,250000,783000,579000,0,2,240000,240000
FY24C1 Annet Eyotaru,88673,Ama Obi Dri Raka,421000,27983600,880000,1300000,591000,0,3,240000,240000
FY24C1 Annet Eyotaru,88675,Likicho,1024600,16003000,350000,720000,575000,0,2,240000,240000
FY24C1 Annet Eyotaru,88676,Hope,396000,10738500,1432000,2200000,654500,0,3,240000,240000
FY24C1 Annet Eyotaru,89000,Success,592000,24585000,1382000,950000,723000,0,3,240000,240000
FY24C1 Charles Baker,89001,Joy Business Group,1280000,5762000,950000,900000,571000,0,3,240000,240000
FY24C1 Charles Baker,89002,Asante Business Group,230000,2275000,150000,115000,425000,0,3,240000,240000
FY24C1 Charles Baker,89003,Iyete Business,99000,2533000,100000,400000,298000,0,3,240000,240000
FY24C1 Charles Baker,89004,Morijita Business Group,194500,2571000,420000,347000,426000,0,3,240000,240000
FY24C1 Charles Baker,89005,Hope Business Group,311500,1418100,0,0,311500,0,3,240000,240000
FY24C1 Charles Baker,89006,Happy Business Group,330000,1325300,150000,200000,455000,0,3,240000,240000
FY24C1 Charles Baker,89007,Unity Business Group,439000,5807100,223000,400000,519000,0,3,240000,240000
FY24C1 Charles Baker,89008,Blessing Business Group,300000,1800500,0,300000,432500,0,3,240000,240000
FY24C1 Charles Baker,89009,Wuti Ta Ngero,650000,1212000,60000,75000,252000,0,3,240000,240000
FY24C1 Charles Baker,89010,Munguchi Business Group,115000,944500,60000,450000,358500,0,3,240000,240000
FY24C1 Charles Baker,89011,Peace Business Group,85000,3265100,50000,20000,580000,0,3,240000,240000
FY24C1 Charles Baker,89012,Faith Business Group,305000,2536000,309000,250000,383000,0,3,240000,240000
FY24C1 Charles Baker,89013,Mungu Feni,195000,1005000,200000,260000,275000,0,3,240000,240000
FY24C1 Charles Baker,89013,Mungu Feni,195000,1005000,200000,260000,275000,0,3,240000,240000
FY24C1 Charles Baker,89014,Holy Business Group,351000,1027500,200000,200000,461000,0,3,240000,240000
FY24C1 Charles Baker,89015,Mercy Business Group,285000,1495000,48000,80000,293000,0,3,240000,240000
